"Gene_id","name","Annot","Variant","left.ctl","left.treat","mid.ctl","mid.treat","right.ctl","right.treat","sides.ctl","sides.treat"
"1396.pre-tRNA-Pro-1","1396.pre-tRNA-Pro-1","1396.pre-tRNA-Pro-1",FALSE,11.0170655890603,18.1025954732022,4.17815601905639,12.0762840392886,0.901804593215415,6.86001473891402,7.74071416321928,12.8863261728276
"A-type_18S:rRNA","A-type_18S:rRNA","A-type_18S:rRNA",FALSE,11.3264516375973,15.0070268609183,4.51537882165899,6.54127023340633,5.90745492761726,8.66752636985042,12.7185277435556,17.1332829973624
"A-type_28S:rRNA","A-type_28S:rRNA","A-type_28S:rRNA",FALSE,11.3698685157755,13.4505077875335,4.46820013552255,7.96049704451584,5.61602175355024,9.7348052742991,12.5176901338032,15.2248160173167
"BSD","BSD","BSD",FALSE,21.0796627417058,33.340906184328,14.6466867908576,36.9074366243999,7.54590067651159,22.8173191766663,13.9788766273598,19.2507887365945
"Cas9","Cas9","Cas9",FALSE,12.6123216393248,13.4528687539192,3.91921491594451,4.94620803325276,1.17789353715139,2.35765684576268,9.8710002605317,10.8643175664291
"CsA","CsA","CsA",FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"DDdomain","DDdomain","DDdomain",FALSE,9.16399592127925,9.67375420032187,3.32977807010623,6.75406514211892,3.2039253413741,6.53417036795826,9.03814319254713,9.45385942616121
"DiCre","DiCre","DiCre",FALSE,9.04012250741571,12.7936858817341,2.86158344305826,7.52741094006789,1.09954115361565,4.01207339346644,7.27808021797311,9.2783483351326
"DsRed","DsRed","DsRed",FALSE,16.8566180990228,18.6126559188705,7.42532592636276,11.7536536564488,4.95970217031571,5.71490015259158,14.3909943429758,12.5739024150133
"eGFP_mut2","eGFP_mut2","eGFP_mut2",FALSE,10.988513363249,11.2576641283595,5.58802065759102,7.94644868790635,2.93299559107096,4.08236665931833,8.33348829672891,7.3935820997715
"eYFP","eYFP","eYFP",FALSE,22.2155770201918,23.1145724022427,6.80521169370242,9.75185294070275,1.2361235062242,3.47674855569496,16.6464888327136,16.8394680172349
"FKBP","FKBP","FKBP",FALSE,6.05727292511711,0.967794573606913,3.96349549137985,0.515088815046128,2.47826956528011,1.08510802565039,4.57204699901737,1.53781378421117
"Fluciferase","Fluciferase","Fluciferase",FALSE,20.4715847624473,22.3515198058873,6.29261025434035,10.9602242746469,1.57665519502529,5.91163518103954,15.7556297031323,17.3029307122798
"GFP","GFP","GFP",FALSE,3.15564006995211,4.94194159242302,1.31441960607951,2.2102360775571,1.92054914130574,0.988669862194515,3.76176960517834,3.72037537706044
"GFP_pL6","GFP_pL6","GFP_pL6",FALSE,22.4706712533614,25.3948794249585,7.59667615958429,13.2164633336712,1.02985398230857,6.73397659774302,15.9038490760857,18.9123926890303
"HA_tag","HA_tag","HA_tag",FALSE,13.7210046921965,12.4618403057778,4.49508924701589,7.47484945485738,1.26692707822493,3.53141459795956,10.4928425234055,8.51840544887997
"HsDHFR","HsDHFR","HsDHFR",FALSE,13.2750106455889,11.5220308655657,4.16905187686035,4.38028628978036,1.45364112790119,1.39337196535296,10.5595998966297,8.53511654113826
"Leucine","Leucine","Leucine",FALSE,24.4607601566819,28.3159832746543,15.4857300994002,23.1644637801144,7.43487165258986,13.5547999871552,16.4099017098715,18.7063194816951
"Lysine","Lysine","Lysine",FALSE,22.3871925804992,23.9530252730603,12.3425554726908,16.8014541454684,6.04326787256201,8.60666957801503,16.0879049803704,15.7582407056069
"MAL11/13_5.8S:rRNA","MAL11/13_5.8S:rRNA","MAL11/13_5.8S:rRNA",FALSE,15.4897951681581,18.5034080552847,5.70801728499998,10.1625751637056,5.80388533873427,11.1556363722215,15.5856632218924,19.4964692638005
"MAL1_5.8S:rRNA","MAL1_5.8S:rRNA","MAL1_5.8S:rRNA",FALSE,16.2414513123874,19.6054014422027,6.15733913065158,11.4370656860695,6.92486414935921,12.2413864291333,17.008976331095,20.4097221852665
"MAL5/7_5.8S:rRNA","MAL5/7_5.8S:rRNA","MAL5/7_5.8S:rRNA",FALSE,11.810181684328,14.6713884693065,4.4316291888276,5.53891230072714,4.81263690965553,6.9916969586958,12.1911894051559,16.1241731272752
"MAL8a_5.8S:rRNA","MAL8a_5.8S:rRNA","MAL8a_5.8S:rRNA",FALSE,15.585182949317,13.4516973059237,6.2487232281283,4.98859670547696,5.71237658782749,7.27155775462314,15.0488363090162,15.7346583550699
