"ProbeName","Gene_id","name","Annot","Variant","Ctl_1","Ctl_2","Ctl_3","A_1","A_2","A_3","B_1","B_2","B_3"
"GE_BrightCorner",NA,NA,NA,FALSE,16.6204904772972,14.4276814595794,13.1249644150499,15.791518786097,16.5179253859735,14.2527105159659,17.1538320491819,15.4844475106461,13.1637922718894
"DarkCorner",NA,NA,NA,FALSE,2.1603377663967,1.72736417478216,0.772175355794361,0.686790941876901,1.95705429540394,0.216555438980255,1.16390056993377,2.19571389555797,2.63002960419371
"DarkCorner",NA,NA,NA,FALSE,2.04708603609939,0.947217290073245,0.787509361623778,0.649532688527384,2.01075442132143,0.233000824389266,1.21745718605304,2.23356568732113,2.63002960419371
"PFF1065C_v7.1_P4/4","PF3D7_0622100",NA,"cvd. Pl. prot. ukwn. func.",FALSE,7.35173962206161,5.00288700794926,6.97177344719337,8.80332036679415,5.34340178144386,6.50610538133006,6.81776393899826,5.58053656340849,8.05833922695125
"PFC0210C_v7.1_P2/2","PF3D7_0304600","CSP","circumsporozoite (CS) prot.",FALSE,8.66765231826115,8.48234210576492,8.53434374040049,9.62759717198213,8.24203794962124,8.71144190590644,8.62412246761347,7.77166971258687,8.62778774728108
"PFI0530C_v7.1_P2/2","PF3D7_0910900",NA,"DNA primase large subunit put.",FALSE,8.64603769787776,8.16471589517313,11.2438160303337,9.21454109417251,8.52815010670154,11.5280374565395,8.88809998006167,7.82674295201782,11.1833264652852
"PFC0500W_v7.1_P1/2","PF3D7_0311800",NA,"ATP synthase F0 subunit d-like prot. put.",FALSE,10.6639503002948,10.7225292093049,11.3342833427898,10.6569199784659,11.0092932795962,11.7031526230632,10.8802225189779,10.4437288875187,11.6231055356596
"PFL0730W_v7.1_P3/3","PF3D7_1215100",NA,"SUN domain-containing prot. put.",FALSE,8.905475760377,10.776081774874,10.841438548673,10.2802952054498,9.70327325135243,10.6424389476902,9.306756431629,10.0763225920187,11.3901936817602
"PF10_0342_v7.1_P1/2","PF3D7_1035100",NA,"probable prot. ukwn. func.",FALSE,6.66545672895271,6.85030562454639,6.57901839112129,7.81105802051366,7.02708104773023,7.10276309662559,7.18979886682176,6.21010223749717,6.79514742616212
"PF14_0466_v7.1_P1/1","PF3D7_1448800",NA,"Appr-1-p processing domain prot.",FALSE,10.4672886521754,10.3658674750581,10.9583866872024,9.66576741745899,10.5052399191292,10.8275546862248,10.6098463611813,9.66625596369314,10.9991043776251
"MAL7P1.201_v7.1_P3/4","PF3D7_0705600",NA,"RNA helicase put.",FALSE,11.4089585932528,11.3986330810783,11.8270191136104,10.7087140422447,11.7709355597632,12.1492298282238,11.379207226428,10.8353209309661,11.9939700816598
"PFF0195C_v7.1_P1/6","PF3D7_0604000",NA,"cvd. Pl. prot. ukwn. func.",FALSE,11.4163747887462,10.7602658636249,10.4816975314244,10.0253320010851,11.7783038678851,10.8649320666049,11.3084414259958,10.3068819462727,10.8600005976252
"PFL0520C_v7.1_P2/3","PF3D7_1210400",NA,"general transcription factor 3C polypeptide 5 put.",FALSE,9.43948268402577,10.479191144317,9.90203467668334,11.1176119357231,9.14031521576012,10.3073226416992,9.72033387876428,9.4031641698001,10.3672542001706
"PFL1960W_v7.1_P2/7","PF3D7_1240600","VAR","erythrocyte memb. prot. 1 PfEMP1",TRUE,12.3971748434539,12.5056455947558,11.1755520455671,14.0850923157244,13.7617247027695,12.9706176832702,14.3777622828389,13.4719990224479,12.6600166232203
