"Gene_id","name","Annot","Variant","ctl_Left","ctl_Right","ctl_Middle","ctl_Sides","treatA_Left","treatA_Right","treatA_Middle","treatA_Sides","treatB_Left","treatB_Right","treatB_Middle","treatB_Sides"
"1396.pre-tRNA-Pro-1","1396.pre-tRNA-Pro-1","1396.pre-tRNA-Pro-1",FALSE,20.8560020606317,8.14933536599108,12.5405615082775,16.4647759183452,22.8619867394077,28.1379665764519,31.2400421550301,19.7599111608295,32.3646829290955,15.4640945209144,28.4462332481832,19.3825442018266
"A-type_18S:rRNA","A-type_18S:rRNA","A-type_18S:rRNA",FALSE,14.062761326828,5.63168213443772,4.980469412275,14.7139740489907,18.8782844814966,23.3706623847663,26.3297681381383,15.9191787281245,19.5792269129512,12.3091475261199,18.1905750316563,13.6977994074148
"A-type_28S:rRNA","A-type_28S:rRNA","A-type_28S:rRNA",FALSE,8.368088639454,3.49002676694449,2.99740497363914,8.86071043275935,13.4072249441163,9.05605668500725,14.5116210011351,7.95166062798855,5.44025220089,3.4051472691589,5.05516373907847,3.79023573097043
"BSD","BSD","BSD",FALSE,17.7661020691065,16.977107737649,25.4432027210513,9.30000708570422,19.8200097093804,16.9513894568966,21.5487821997403,15.2226169665368,20.973360862854,20.5793004304263,26.1745801510616,15.3780811422187
"Cas9","Cas9","Cas9",FALSE,18.1776564549402,8.83238571214309,13.4584460937171,13.5515960733662,20.4491343572026,14.4577106042097,22.4566358279392,12.4502091334731,23.0130820950773,9.23556358528092,17.6406694527431,14.6079762276151
"CsA","CsA","CsA",FALSE,11.2525820994546,22.4508645267148,19.7564184904368,13.9470281357326,15.5848615371636,15.5848615371636,15.5848615371636,15.5848615371636,15.5955458801601,16.3102215831948,15.815883743605,16.0898837197498
"DDdomain","DDdomain","DDdomain",FALSE,17.9530326284573,3.92675067290707,9.43758891365441,12.44219438771,26.4327517043588,16.8644541110792,26.4610035838543,16.8362022315836,28.7905695312107,10.0652264510774,19.1842534631509,19.6715425191372
"DiCre","DiCre","DiCre",FALSE,17.9192964214186,5.32211840082044,11.1454096281615,12.0960051940775,23.7144634677579,15.2227591847028,24.0234971525535,14.9137254999072,24.1351486504096,9.15380083303652,17.6898324369179,15.5991170465283
"DsRed","DsRed","DsRed",FALSE,17.5083055672795,10.677363617618,14.0939963432335,14.091672841664,15.8539148769901,13.4255309197173,18.9985167020074,10.2809290947001,18.3523355607553,7.37252795080566,14.0788564526772,11.6460070588837
"eGFP_mut2","eGFP_mut2","eGFP_mut2",FALSE,20.2560763720206,13.8430140190929,16.6662927659822,17.4327976251313,21.4981646549652,18.9544204810024,23.9979752374484,16.4546098985192,20.6744334687938,8.31558959108822,15.8752589333569,13.1147641265251
