"Gene_id","name","Annot","Variant","ctl_Left","ctl_Right","ctl_Middle","ctl_Sides","treat_Left","treat_Right","treat_Middle","treat_Sides"
"1396.pre-tRNA-Pro-1","1396.pre-tRNA-Pro-1","1396.pre-tRNA-Pro-1",FALSE,10.8195555062565,0.794584833979102,3.99918455005153,7.6149557901841,17.4712514042829,6.66250465611029,11.7830635660678,12.3506924943255
"A-type_18S:rRNA","A-type_18S:rRNA","A-type_18S:rRNA",FALSE,11.3264516375973,5.16463809778202,4.36286198721283,12.1282277481665,14.009040116491,8.66752636985042,6.32109914493189,16.3554673414095
"A-type_28S:rRNA","A-type_28S:rRNA","A-type_28S:rRNA",FALSE,11.3698685157755,4.91033107508438,4.3233061265895,11.9568934642704,12.7870656966608,9.7348052742991,7.81413160619431,14.7077393647656
"BSD","BSD","BSD",FALSE,19.3237176356904,6.59382054380389,13.0557930624183,12.861745117076,32.5476548658859,21.0613740706509,35.3638764425943,18.2451524939425
"Cas9","Cas9","Cas9",FALSE,12.6123216393248,1.03804729936351,3.89050136956277,9.75986756912556,12.6442483721296,2.35765684576268,4.76781405095253,10.2340911669398
"CsA","CsA","CsA",FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"DDdomain","DDdomain","DDdomain",FALSE,9.16399592127925,2.8034679665111,3.24755525461312,8.71990863317724,9.36874041873608,6.53417036795826,6.68677445247155,9.21613633422279
"DiCre","DiCre","DiCre",FALSE,9.04012250741571,0.966815614558296,2.83433193467271,7.17260618730131,12.371699990212,4.01207339346644,7.43431441992265,8.94945896375581
"DsRed","DsRed","DsRed",FALSE,16.8566180990228,4.71701976532369,7.37549782514248,14.198140039204,18.1230570354212,5.71490015259158,11.6456406796364,12.1923165083764
"eGFP_mut2","eGFP_mut2","eGFP_mut2",FALSE,10.988513363249,3.0164209222692,5.60514973560316,8.399784549915,11.0603030220468,4.08236665931833,7.90290781941081,7.23976186195427
"eYFP","eYFP","eYFP",FALSE,22.2155770201918,1.11514071375519,6.78037123265104,16.550346501296,21.9351267762899,3.47674855569496,9.49164925692391,15.920226075061
"FKBP","FKBP","FKBP",FALSE,6.05727292511711,2.59216321988255,3.98688039458313,4.66255575041652,0.895673843149437,1.08510802565039,0.499177882546212,1.48160398625361
"Fluciferase","Fluciferase","Fluciferase",FALSE,20.4715847624473,1.39233094296327,6.25476438129734,15.6091513241132,21.3337201560047,5.91163518103954,10.7356821572142,16.5096731798301
"GFP","GFP","GFP",FALSE,3.15564006995211,1.67863452869872,1.26474914973124,3.56952544891959,4.69831396000858,0.988669862194515,2.15648810814703,3.53049571405607
"GFP_pL6","GFP_pL6","GFP_pL6",FALSE,22.2598275470254,0.915395970297619,7.40562258238099,15.7696009349421,24.1405003301486,6.52313289140707,12.7753998136705,17.8882334078851
"HA_tag","HA_tag","HA_tag",FALSE,13.7210046921965,1.17554304525103,4.47632607032373,10.4202216671238,12.0874887528956,3.53141459795956,7.39226179592262,8.22664155493252
"HsDHFR","HsDHFR","HsDHFR",FALSE,13.2750106455889,1.27922871790315,4.13324112568644,10.4209982378056,10.8765968016818,1.39337196535296,4.23789369671508,8.0320750703197
"Leucine","Leucine","Leucine",FALSE,22.733670242623,6.49730855638646,13.9207476203551,15.3102311786543,26.4297116441541,11.8277100730963,21.4022559529471,16.8551657643033
"Lysine","Lysine","Lysine",FALSE,22.3871925804992,6.44191513385881,12.4244066315655,16.4047010827925,23.5205639536171,8.60666957801503,16.7060465862433,15.4211869453889
"MAL11/13_5.8S:rRNA","MAL11/13_5.8S:rRNA","MAL11/13_5.8S:rRNA",FALSE,15.4897951681581,5.07757338267483,5.55888926863133,15.0084792822016,17.5654298182468,11.1556363722215,9.95564286669155,18.7654233237767
"MAL1_5.8S:rRNA","MAL1_5.8S:rRNA","MAL1_5.8S:rRNA",FALSE,16.2414513123874,6.05648215445731,5.97904097203036,16.3188924948143,18.6937342708266,12.2413864291333,11.2359380112089,19.6991826887509
"MAL5/7_5.8S:rRNA","MAL5/7_5.8S:rRNA","MAL5/7_5.8S:rRNA",FALSE,11.810181684328,4.20954668081325,4.3078013366654,11.7119270284758,13.6293651880948,6.9916969586958,5.30902608097405,15.3120360658166
"MAL8a_5.8S:rRNA","MAL8a_5.8S:rRNA","MAL8a_5.8S:rRNA",FALSE,15.585182949317,5.13144501275758,6.12944504096184,14.5871829211128,12.4475560938287,7.27155775462314,4.76706784762036,14.9520460008315
"mal_mito_1:mRNA","mal_mito_1:mRNA","mal_mito_1:mRNA",FALSE,8.99269788943621,27.0839841264803,18.0071374476523,18.0695445682642,12.3905342841846,29.4406372649746,22.6099986898196,19.2211728593396
"mal_mito_2:mRNA","mal_mito_2:mRNA","mal_mito_2:mRNA",FALSE,11.1042803830956,30.3541958100382,20.8073329661005,20.6511432270333,13.4407919547112,35.1805095057176,25.4669056005381,23.1543958598907
"mal_mito_3:mRNA","mal_mito_3:mRNA","mal_mito_3:mRNA",FALSE,7.99153859326996,26.7553258205556,16.554018872152,18.1928455416736,13.3525487024948,33.3905603672335,24.7081912766061,22.0349177931223
"malmito_rna_10:rRNA","malmito_rna_10:rRNA","malmito_rna_10:rRNA",FALSE,5.17634170581217,7.49150648964111,4.51444764842986,8.15340054702342,2.89651621863599,12.7384007989085,4.17933487013918,11.4555821474053
"malmito_rna_1:rRNA","malmito_rna_1:rRNA","malmito_rna_1:rRNA",FALSE,5.53254485323419,5.61299169459313,2.76559299590247,8.37994355192484,4.69655659563252,13.1148745174962,6.45488600260607,11.3565451105227
"malmito_rna_LSUF:rRNA","malmito_rna_LSUF:rRNA","malmito_rna_LSUF:rRNA",FALSE,3.38591164075314,5.60325512002038,2.13770128669791,6.8514654740756,3.47425088648145,11.9822888565116,5.66198452292498,9.79455522006812
"malmito_rna_LSUG:rRNA","malmito_rna_LSUG:rRNA","malmito_rna_LSUG:rRNA",FALSE,1.81411307673121,6.80004521571402,1.92514056476979,6.68901772767545,0.912207034884018,11.5374640281418,3.51967279441375,8.92999826861207
"malmito_rna_RNA4:rRNA","malmito_rna_RNA4:rRNA","malmito_rna_RNA4:rRNA",FALSE,9.07827859792833,13.154788805645,13.1472999105596,9.08576749301371,6.86934945025034,12.4385405447481,11.4910275917168,7.81686240328162
"malmito_rna_RNA5:rRNA","malmito_rna_RNA5:rRNA","malmito_rna_RNA5:rRNA",FALSE,5.26819463716535,7.57163873475812,5.39622787949001,7.44360549243346,0.785230597363829,13.3698049127167,3.88903602759835,10.2659994824822
"malmito_rna_RNA7:rRNA","malmito_rna_RNA7:rRNA","malmito_rna_RNA7:rRNA",FALSE,7.14015394661653,7.12019808344592,3.54378565710376,10.7165663729587,5.27064558341939,13.0631135275734,5.11823692301828,13.2155221879745
"malmito_rna_SSUF:rRNA","malmito_rna_SSUF:rRNA","malmito_rna_SSUF:rRNA",FALSE,9.80589371707791,20.6839815500429,16.326366784898,14.1635084822228,8.37441052632377,20.9245547564582,15.5936418603486,13.7053234224334
"malmito_SSUB:rRNA","malmito_SSUB:rRNA","malmito_SSUB:rRNA",FALSE,10.6869834040657,21.6743699528583,18.520137394554,13.8412159623701,12.0223772849056,25.8561470001225,21.2354130235268,16.6431112615012
"mal_rna_10:rRNA","mal_rna_10:rRNA","mal_rna_10:rRNA",FALSE,4.60483453971476,6.67204386525253,2.71254804065183,8.56433036431546,2.84406816485623,11.1172485192591,4.93829785650198,9.02301882761337
"mal_rna_14:rRNA","mal_rna_14:rRNA","mal_rna_14:rRNA",FALSE,9.13175829125294,8.0733796356942,4.32018595149088,12.8849519754563,6.9490825792047,16.0468037161293,7.05086283496741,15.9450234603666
"mal_rna_15:rRNA","mal_rna_15:rRNA","mal_rna_15:rRNA",FALSE,13.0991132538917,26.3403134327541,22.1313702524067,17.3080564342392,14.4721272995868,32.1538961193127,25.845614295109,20.7804091237905
"mal_rna_17:rRNA","mal_rna_17:rRNA","mal_rna_17:rRNA",FALSE,10.6984251382222,8.69477936132791,4.9045652751703,14.4886392243798,9.73186154307521,16.4561346419727,8.93746230473523,17.2505338803126
"mal_rna_18:rRNA","mal_rna_18:rRNA","mal_rna_18:rRNA",FALSE,11.2702488762299,6.20264747169754,4.55960141777941,12.9132949301481,10.358752678383,10.942557898065,5.51334530944414,15.7879652670038
"mal_rna_19:rRNA","mal_rna_19:rRNA","mal_rna_19:rRNA",FALSE,8.70504601401803,7.21789531279685,4.0201197263061,11.9028216005088,6.09077284218434,15.9480077784792,6.94567554035346,15.0931050803101
"mal_rna_9:rRNA","mal_rna_9:rRNA","mal_rna_9:rRNA",FALSE,2.66230177083467,2.7156414466673,1.79960412414578,3.57833909335618,3.30047236367428,10.1457789960181,6.66817585752926,6.77807550216312
"mCherry","mCherry","mCherry",FALSE,5.26531521018868,3.53688469182893,5.54666529376711,3.25553460825049,2.87739247540409,3.5386007651788,3.42925109704168,2.98674214354121
"Mp_rRNA","Mp_rRNA","Mp_rRNA",FALSE,0,0,0,0,7.09112362641777,5.96490267375618,9.54636994727095,3.509656352903
